transaction_id,user_id,amount,timestamp,location,channel,txn_type
txn000001,754,5610.99,07-11-2024 09:54,Pune,ATM,debit
txn000002,328,7019.92,24-09-2023 05:29,Hyderabad,Mobile,payment
txn000003,132,1538.37,19-07-2023 04:21,Bangalore,Web,credit
txn000004,674,9981.94,25-01-2025 17:38,Pune,POS,debit
txn000005,559,29483.82,29-01-2024 09:02,Hyderabad,Web,payment
txn000006,448,13929.67,05-01-2024 23:14,Bangalore,ATM,credit
txn000007,194,19027.37,20-12-2023 03:04,Delhi,ATM,transfer
txn000008,926,2220.35,16-10-2023 03:18,Mumbai,Mobile,payment
txn000009,180,27624.43,21-01-2025 18:56,Pune,ATM,debit
txn000010,821,3524.28,17-09-2023 08:46,Pune,Web,transfer
txn000011,181,42773.12,06-12-2024 08:43,Hyderabad,POS,transfer
txn000012,564,31802.44,25-01-2025 01:10,Delhi,Web,transfer
txn000013,463,10514.88,22-05-2025 17:33,Delhi,Mobile,debit
txn000014,646,36469.88,26-08-2024 08:30,Bangalore,POS,payment
txn000015,376,49476.69,05-09-2023 06:47,Pune,Web,transfer
txn000016,963,38427.26,30-09-2024 09:42,Hyderabad,Web,credit
txn000017,924,15806.88,22-05-2024 11:19,Delhi,Mobile,debit
txn000018,680,43824.56,24-07-2023 10:36,Delhi,Web,payment
txn000019,505,44239.92,22-07-2023 21:35,Pune,POS,debit
txn000020,371,7024.53,10-09-2023 12:44,Pune,ATM,payment
txn000021,697,20000.06,16-12-2023 13:50,Bangalore,Web,payment
txn000022,193,37801.32,27-12-2023 11:14,Hyderabad,Web,debit
txn000023,911,34040.04,26-07-2024 06:38,Chennai,Mobile,payment
txn000024,490,29814.63,09-10-2024 08:34,Mumbai,ATM,credit
txn000025,796,36050.05,20-07-2023 08:47,Pune,ATM,transfer
txn000026,214,14710.33,07-09-2024 16:29,Bangalore,POS,credit
txn000027,839,43798.85,01-12-2023 04:44,Delhi,Web,credit
txn000028,991,31283.74,05-01-2025 21:42,Pune,Web,debit
txn000029,482,38137.41,15-11-2024 12:51,Chennai,Mobile,transfer
txn000030,600,1022.86,25-12-2024 11:46,Delhi,ATM,debit
txn000031,159,12081.54,26-08-2024 00:34,Chennai,Mobile,credit
txn000032,849,24325.22,20-05-2024 14:32,Hyderabad,Web,debit
txn000033,775,23790.35,17-12-2023 23:26,Chennai,Web,transfer
txn000034,640,43628.03,12-06-2024 15:59,Mumbai,Web,debit
txn000035,830,15620.23,29-09-2024 10:50,Pune,ATM,payment
txn000036,629,22601.73,31-01-2024 19:58,Bangalore,Web,credit
txn000037,446,1100.66,19-03-2025 11:00,Chennai,Web,debit
txn000038,107,3596.1,04-05-2025 23:03,Pune,Mobile,debit
txn000039,169,45275.73,04-07-2023 19:16,Delhi,Mobile,debit
txn000040,385,33465.44,08-02-2025 03:19,Bangalore,Web,payment
txn000041,348,39241.74,16-03-2025 15:41,Mumbai,Web,credit
txn000042,199,32966.19,31-10-2023 18:23,Delhi,POS,payment
txn000043,578,43198.65,23-12-2024 00:23,Hyderabad,Mobile,credit
txn000044,512,36424.27,23-05-2024 00:14,Hyderabad,Web,debit
txn000045,294,26837.47,20-03-2024 00:51,Bangalore,POS,debit
txn000046,385,23158.27,31-01-2024 14:01,Hyderabad,POS,credit
txn000047,151,32624.64,28-10-2023 12:28,Chennai,Mobile,credit
txn000048,871,42442.35,13-12-2023 23:52,Bangalore,POS,payment
txn000049,592,10726.68,11-02-2025 18:41,Mumbai,Mobile,debit
txn000050,488,157.66,17-03-2024 04:42,Mumbai,ATM,payment
txn000051,392,21179.22,17-09-2023 03:28,Pune,POS,debit
txn000052,294,14870.56,09-09-2023 19:02,Hyderabad,Mobile,transfer
txn000053,158,2554.61,19-04-2024 20:29,Mumbai,Web,credit
txn000054,620,4051.57,12-09-2023 21:03,Bangalore,Mobile,credit
txn000055,791,43097.87,03-04-2024 13:59,Mumbai,Mobile,debit
txn000056,692,29746.23,18-04-2025 00:34,Chennai,Mobile,payment
txn000057,773,29204.43,22-03-2024 21:55,Chennai,ATM,transfer
txn000058,309,33502.81,10-10-2024 16:24,Delhi,Web,transfer
txn000059,505,6587.37,21-01-2024 05:09,Pune,ATM,payment
txn000060,423,46454.47,17-03-2025 16:05,Hyderabad,Mobile,payment
txn000061,736,49922.8,02-08-2023 12:06,Hyderabad,Mobile,debit
txn000062,618,13296.76,16-01-2025 13:19,Delhi,Mobile,debit
txn000063,478,14285.12,20-06-2024 14:25,Mumbai,ATM,credit
txn000064,783,40864.35,19-08-2024 06:08,Delhi,Mobile,debit
txn000065,370,5815.66,04-10-2023 17:03,Hyderabad,Web,transfer
txn000066,388,30261.25,15-06-2025 02:57,Pune,ATM,debit
txn000067,803,31730.19,18-04-2024 18:31,Delhi,POS,transfer
txn000068,966,2587.4,29-08-2023 23:04,Pune,POS,transfer
txn000069,145,227.11,31-08-2024 12:54,Bangalore,ATM,debit
txn000070,859,22119.68,12-02-2024 11:22,Pune,POS,credit
txn000071,214,3808.43,03-04-2025 23:21,Pune,Web,credit
txn000072,954,18492.34,30-10-2024 00:49,Chennai,Web,payment
txn000073,230,2139.35,22-10-2024 04:10,Delhi,Mobile,transfer
txn000074,315,34119.23,17-05-2025 12:08,Pune,Mobile,transfer
txn000075,898,28016.18,29-04-2025 01:30,Mumbai,Web,debit
txn000076,985,8166.96,05-04-2024 15:29,Bangalore,POS,credit
txn000077,283,36841.4,20-09-2024 04:45,Delhi,POS,debit
txn000078,373,8001.93,26-11-2023 02:39,Pune,Mobile,payment
